No,wc_induk,nama_wc_induk,workcenter,nama_workcenter,kode_laravel,plant
1,WC742,SG ASSY GROUP 1,WC390,SG ASSY A1,3018,3000
2,WC742,SG ASSY GROUP 1,WC391,SG ASSY A2,3018,3000
3,WC743,SG ASSY GROUP 2,WC554,SG ASSY A5,3018,3000
4,WC743,SG ASSY GROUP 2,WC553,SG ASSY A4,3018,3000
5,WC744,CGD ASSY GROUP A1,WC418,CGD ASSEMBLY A1,3014,3000
6,WC744,CGD ASSY GROUP A1,WC419,CGD ASSEMBLY A2,3014,3000
7,WC744,CGD ASSY GROUP A1,WC420,CGD ASSEMBLY A3,3014,3000
8,WC744,CGD ASSY GROUP A1,WC421,CGD ASSEMBLY A4,3014,3000
9,WC745,CGD ASSY GROUP A2,WC422,CGD ASSEMBLY A5,3014,3000
10,WC745,CGD ASSY GROUP A2,WC423,CGD ASSEMBLY A6,3014,3000
11,WC745,CGD ASSY GROUP A2,WC424,CGD ASSEMBLY A7,3014,3000
12,WC745,CGD ASSY GROUP A2,WC425,CGD ASSEMBLY A8,3014,3000
13,WC746,CGD ASSY GROUP A3,WC426,CGD ASSEMBLY A9,3014,3000
14,WC746,CGD ASSY GROUP A3,WC427,CGD ASSEMBLY A10,3014,3000
15,WC746,CGD ASSY GROUP A3,WC428,CGD ASSEMBLY A11,3014,3000
16,WC747,CGD ASSY GROUP B1,WC430,CGD ASSEMBLY B1,3014,3000
17,WC747,CGD ASSY GROUP B1,WC431,CGD ASSEMBLY B2,3014,3000
18,WC747,CGD ASSY GROUP B1,WC432,CGD ASSEMBLY B3,3014,3000
19,WC747,CGD ASSY GROUP B1,WC433,CGD ASSEMBLY B4,3014,3000
20,WC748,CGD ASSY GROUP B2,WC434,CGD ASSEMBLY B5,3014,3000
21,WC748,CGD ASSY GROUP B2,WC435,CGD ASSEMBLY B6,3014,3000
22,WC748,CGD ASSY GROUP B2,WC436,CGD ASSEMBLY B7,3014,3000
23,WC748,CGD ASSY GROUP B2,WC437,CGD ASSEMBLY B8,3014,3000
24,WC749,CGD ASSY GROUP B3,WC438,CGD ASSEMBLY B9,3014,3000
25,WC749,CGD ASSY GROUP B3,WC439,CGD ASSEMBLY B10,3014,3000
26,WC749,CGD ASSY GROUP B3,WC440,CGD ASSEMBLY B11,3014,3000
27,WC749,CGD ASSY GROUP B3,WC441,CGD ASSEMBLY B12,3014,3000
28,WC750,CGD PAINTING GROUP A1,WC261,CGD PAINTING A1,3015,3000
29,WC750,CGD PAINTING GROUP A1,WC262,CGD PAINTING A2,3015,3000
30,WC750,CGD PAINTING GROUP A1,WC263,CGD PAINTING A3,3015,3000
31,WC750,CGD PAINTING GROUP A1,WC265,CGD PAINTING A5,3015,3000
32,WC750,CGD PAINTING GROUP A1,WC266,CGD PAINTING A6,3015,3000
33,WC750,CGD PAINTING GROUP A1,WC267,CGD PAINTING A7,3015,3000
34,WC751,CGD PAINTING GROUP A2,WC268,CGD PAINTING A8,3015,3000
35,WC751,CGD PAINTING GROUP A2,WC269,CGD PAINTING A9,3015,3000
36,WC751,CGD PAINTING GROUP A2,WC270,CGD PAINTING A10,3015,3000
37,WC751,CGD PAINTING GROUP A2,WC442,CGD PAINTING A11,3015,3000
38,WC751,CGD PAINTING GROUP A2,WC443,CGD PAINTING A12,3015,3000
39,WC752,CGD PAINTING GROUP B1,WC445,CGD PAINTING B1,3015,3000
40,WC752,CGD PAINTING GROUP B1,WC446,CGD PAINTING B2,3015,3000
41,WC752,CGD PAINTING GROUP B1,WC447,CGD PAINTING B3,3015,3000
42,WC752,CGD PAINTING GROUP B1,WC448,CGD PAINTING B4,3015,3000
43,WC752,CGD PAINTING GROUP B1,WC449,CGD PAINTING B5,3015,3000
44,WC752,CGD PAINTING GROUP B1,WC450,CGD PAINTING B6,3015,3000
45,WC752,CGD PAINTING GROUP B1,WC451,CGD PAINTING B7,3015,3000
